date,value,series_index,series_label,chart_id,chart_name_en,source,ingested_at
1995-06-01,3047.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-07-01,2771.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-08-01,2742.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-09-01,2632.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-10-01,2573.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-11-01,2302.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-12-01,2160.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-01-01,1815.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-02-01,2043.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-03-01,2088.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-04-01,2090.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-05-01,2427.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-06-01,2480.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-07-01,2634.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-08-01,2558.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-09-01,2541.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-10-01,2637.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1996-11-01,2786.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
